uid HMR VR rep update efficiency
HMR0.1_10 HMR0.1 VR0.1 10 9900 0.995776
HMR0.1_10 HMR0.1 VR0.1 10 10000 0.995638
HMR0.1_11 HMR0.1 VR0.1 11 0 1
HMR0.1_11 HMR0.1 VR0.1 11 100 0.999695
HMR0.1_11 HMR0.1 VR0.1 11 200 0.999483
HMR0.1_11 HMR0.1 VR0.1 11 300 0.999305
HMR0.1_11 HMR0.1 VR0.1 11 400 0.999216
HMR0.1_11 HMR0.1 VR0.1 11 500 0.999068
HMR0.1_11 HMR0.1 VR0.1 11 600 0.998925
HMR0.1_11 HMR0.1 VR0.1 11 700 0.998844
HMR0.1_11 HMR0.1 VR0.1 11 800 0.99867
HMR0.1_11 HMR0.1 VR0.1 11 900 0.998608
HMR0.1_11 HMR0.1 VR0.1 11 1000 0.998549
HMR0.1_11 HMR0.1 VR0.1 11 1100 0.998488
HMR0.1_11 HMR0.1 VR0.1 11 1200 0.998379
HMR0.1_11 HMR0.1 VR0.1 11 1300 0.998404
HMR0.1_11 HMR0.1 VR0.1 11 1400 0.998358
HMR0.1_11 HMR0.1 VR0.1 11 1500 0.99827
HMR0.1_11 HMR0.1 VR0.1 11 1600 0.998132
HMR0.1_11 HMR0.1 VR0.1 11 1700 0.998079
HMR0.1_11 HMR0.1 VR0.1 11 1800 0.998076
HMR0.1_11 HMR0.1 VR0.1 11 1900 0.997947
HMR0.1_11 HMR0.1 VR0.1 11 2000 0.997972
HMR0.1_11 HMR0.1 VR0.1 11 2100 0.99788
HMR0.1_11 HMR0.1 VR0.1 11 2200 0.997881
HMR0.1_11 HMR0.1 VR0.1 11 2300 0.997778
HMR0.1_11 HMR0.1 VR0.1 11 2400 0.997792
HMR0.1_11 HMR0.1 VR0.1 11 2500 0.997857
HMR0.1_11 HMR0.1 VR0.1 11 2600 0.99775
HMR0.1_11 HMR0.1 VR0.1 11 2700 0.997773
HMR0.1_11 HMR0.1 VR0.1 11 2800 0.997694
HMR0.1_11 HMR0.1 VR0.1 11 2900 0.997632
HMR0.1_11 HMR0.1 VR0.1 11 3000 0.99758
HMR0.1_11 HMR0.1 VR0.1 11 3100 0.997484
HMR0.1_11 HMR0.1 VR0.1 11 3200 0.997564
HMR0.1_11 HMR0.1 VR0.1 11 3300 0.997531
HMR0.1_11 HMR0.1 VR0.1 11 3400 0.997476
HMR0.1_11 HMR0.1 VR0.1 11 3500 0.997416
HMR0.1_11 HMR0.1 VR0.1 11 3600 0.997407
HMR0.1_11 HMR0.1 VR0.1 11 3700 0.997378
HMR0.1_11 HMR0.1 VR0.1 11 3800 0.997282
HMR0.1_11 HMR0.1 VR0.1 11 3900 0.997316
HMR0.1_11 HMR0.1 VR0.1 11 4000 0.997185
HMR0.1_11 HMR0.1 VR0.1 11 4100 0.99718
HMR0.1_11 HMR0.1 VR0.1 11 4200 0.997038
HMR0.1_11 HMR0.1 VR0.1 11 4300 0.996899
HMR0.1_11 HMR0.1 VR0.1 11 4400 0.996864
HMR0.1_11 HMR0.1 VR0.1 11 4500 0.996832
HMR0.1_11 HMR0.1 VR0.1 11 4600 0.996842
HMR0.1_11 HMR0.1 VR0.1 11 4700 0.996702
HMR0.1_11 HMR0.1 VR0.1 11 4800 0.996695
HMR0.1_11 HMR0.1 VR0.1 11 4900 0.996668
HMR0.1_11 HMR0.1 VR0.1 11 5000 0.996616
HMR0.1_11 HMR0.1 VR0.1 11 5100 0.996549
