uid HMR VR rep update donate partner
HMR0.1_10 HMR0.1 VR0.1 10 8800 -0.425264 Host
HMR0.1_10 HMR0.1 VR0.1 10 8900 -0.425003 Host
HMR0.1_10 HMR0.1 VR0.1 10 9000 -0.424747 Host
HMR0.1_10 HMR0.1 VR0.1 10 9100 -0.424124 Host
HMR0.1_10 HMR0.1 VR0.1 10 9200 -0.42573 Host
HMR0.1_10 HMR0.1 VR0.1 10 9300 -0.424451 Host
HMR0.1_10 HMR0.1 VR0.1 10 9400 -0.425176 Host
HMR0.1_10 HMR0.1 VR0.1 10 9500 -0.424815 Host
HMR0.1_10 HMR0.1 VR0.1 10 9600 -0.425334 Host
HMR0.1_10 HMR0.1 VR0.1 10 9700 -0.425838 Host
HMR0.1_10 HMR0.1 VR0.1 10 9800 -0.425511 Host
HMR0.1_10 HMR0.1 VR0.1 10 9900 -0.425438 Host
HMR0.1_10 HMR0.1 VR0.1 10 10000 -0.425755 Host
HMR0.1_10 HMR0.1 VR0.1 10 0 -0.00556074 Sym
HMR0.1_10 HMR0.1 VR0.1 10 100 -0.663622 Sym
HMR0.1_10 HMR0.1 VR0.1 10 200 -0.823928 Sym
HMR0.1_10 HMR0.1 VR0.1 10 300 -0.883478 Sym
HMR0.1_10 HMR0.1 VR0.1 10 400 -0.917233 Sym
HMR0.1_10 HMR0.1 VR0.1 10 500 -0.93933 Sym
HMR0.1_10 HMR0.1 VR0.1 10 600 -0.952617 Sym
HMR0.1_10 HMR0.1 VR0.1 10 700 -0.962266 Sym
HMR0.1_10 HMR0.1 VR0.1 10 800 -0.968341 Sym
HMR0.1_10 HMR0.1 VR0.1 10 900 -0.973427 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1000 -0.976943 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1100 -0.978928 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1200 -0.98015 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1300 -0.98265 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1400 -0.982806 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1500 -0.983832 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1600 -0.984699 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1700 -0.98512 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1800 -0.986901 Sym
HMR0.1_10 HMR0.1 VR0.1 10 1900 -0.987988 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2000 -0.987823 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2100 -0.988007 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2200 -0.988787 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2300 -0.989183 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2400 -0.990114 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2500 -0.990664 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2600 -0.990951 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2700 -0.991119 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2800 -0.99124 Sym
HMR0.1_10 HMR0.1 VR0.1 10 2900 -0.991864 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3000 -0.992442 Sym
HMR0.1_10 HMR0.1 VR0.1 10 3100 -0.992444 Sym
