uid HMR VR rep update efficiency
HMR0.1_10 HMR0.1 VR0.1 10 9900 0.993757
HMR0.1_10 HMR0.1 VR0.1 10 10000 0.993674
HMR0.1_11 HMR0.1 VR0.1 11 0 1
HMR0.1_11 HMR0.1 VR0.1 11 100 0.999608
HMR0.1_11 HMR0.1 VR0.1 11 200 0.99933
HMR0.1_11 HMR0.1 VR0.1 11 300 0.999066
HMR0.1_11 HMR0.1 VR0.1 11 400 0.998845
HMR0.1_11 HMR0.1 VR0.1 11 500 0.998637
HMR0.1_11 HMR0.1 VR0.1 11 600 0.998395
HMR0.1_11 HMR0.1 VR0.1 11 700 0.998135
HMR0.1_11 HMR0.1 VR0.1 11 800 0.997918
HMR0.1_11 HMR0.1 VR0.1 11 900 0.997831
HMR0.1_11 HMR0.1 VR0.1 11 1000 0.997803
HMR0.1_11 HMR0.1 VR0.1 11 1100 0.997672
HMR0.1_11 HMR0.1 VR0.1 11 1200 0.997608
HMR0.1_11 HMR0.1 VR0.1 11 1300 0.997512
HMR0.1_11 HMR0.1 VR0.1 11 1400 0.99738
HMR0.1_11 HMR0.1 VR0.1 11 1500 0.997266
HMR0.1_11 HMR0.1 VR0.1 11 1600 0.997189
HMR0.1_11 HMR0.1 VR0.1 11 1700 0.997101
HMR0.1_11 HMR0.1 VR0.1 11 1800 0.996683
HMR0.1_11 HMR0.1 VR0.1 11 1900 0.996696
HMR0.1_11 HMR0.1 VR0.1 11 2000 0.996546
HMR0.1_11 HMR0.1 VR0.1 11 2100 0.996553
HMR0.1_11 HMR0.1 VR0.1 11 2200 0.996762
HMR0.1_11 HMR0.1 VR0.1 11 2300 0.996772
HMR0.1_11 HMR0.1 VR0.1 11 2400 0.996602
HMR0.1_11 HMR0.1 VR0.1 11 2500 0.996647
HMR0.1_11 HMR0.1 VR0.1 11 2600 0.996432
HMR0.1_11 HMR0.1 VR0.1 11 2700 0.996432
HMR0.1_11 HMR0.1 VR0.1 11 2800 0.996525
HMR0.1_11 HMR0.1 VR0.1 11 2900 0.996408
HMR0.1_11 HMR0.1 VR0.1 11 3000 0.996453
HMR0.1_11 HMR0.1 VR0.1 11 3100 0.996345
HMR0.1_11 HMR0.1 VR0.1 11 3200 0.996182
HMR0.1_11 HMR0.1 VR0.1 11 3300 0.996247
HMR0.1_11 HMR0.1 VR0.1 11 3400 0.996089
HMR0.1_11 HMR0.1 VR0.1 11 3500 0.996093
HMR0.1_11 HMR0.1 VR0.1 11 3600 0.995846
HMR0.1_11 HMR0.1 VR0.1 11 3700 0.995943
HMR0.1_11 HMR0.1 VR0.1 11 3800 0.995819
HMR0.1_11 HMR0.1 VR0.1 11 3900 0.995925
HMR0.1_11 HMR0.1 VR0.1 11 4000 0.99592
HMR0.1_11 HMR0.1 VR0.1 11 4100 0.995754
HMR0.1_11 HMR0.1 VR0.1 11 4200 0.995508
HMR0.1_11 HMR0.1 VR0.1 11 4300 0.99529
HMR0.1_11 HMR0.1 VR0.1 11 4400 0.99504
HMR0.1_11 HMR0.1 VR0.1 11 4500 0.994936
HMR0.1_11 HMR0.1 VR0.1 11 4600 0.994854
HMR0.1_11 HMR0.1 VR0.1 11 4700 0.994944
HMR0.1_11 HMR0.1 VR0.1 11 4800 0.99499
HMR0.1_11 HMR0.1 VR0.1 11 4900 0.994975
HMR0.1_11 HMR0.1 VR0.1 11 5000 0.994976
HMR0.1_11 HMR0.1 VR0.1 11 5100 0.995234
HMR0.1_11 HMR0.1 VR0.1 11 5200 0.995603
HMR0.1_11 HMR0.1 VR0.1 11 5300 0.99578
HMR0.1_11 HMR0.1 VR0.1 11 5400 0.995671
HMR0.1_11 HMR0.1 VR0.1 11 5500 0.995889
HMR0.1_11 HMR0.1 VR0.1 11 5600 0.996054
HMR0.1_11 HMR0.1 VR0.1 11 5700 0.99592
HMR0.1_11 HMR0.1 VR0.1 11 5800 0.995891
HMR0.1_11 HMR0.1 VR0.1 11 5900 0.99597
HMR0.1_11 HMR0.1 VR0.1 11 6000 0.996107
HMR0.1_11 HMR0.1 VR0.1 11 6100 0.996139
HMR0.1_11 HMR0.1 VR0.1 11 6200 0.996147
HMR0.1_11 HMR0.1 VR0.1 11 6300 0.996281
HMR0.1_11 HMR0.1 VR0.1 11 6400 0.996289
HMR0.1_11 HMR0.1 VR0.1 11 6500 0.996381
HMR0.1_11 HMR0.1 VR0.1 11 6600 0.996277
HMR0.1_11 HMR0.1 VR0.1 11 6700 0.996172
HMR0.1_11 HMR0.1 VR0.1 11 6800 0.996078
HMR0.1_11 HMR0.1 VR0.1 11 6900 0.996208
HMR0.1_11 HMR0.1 VR0.1 11 7000 0.996184
HMR0.1_11 HMR0.1 VR0.1 11 7100 0.995981
HMR0.1_11 HMR0.1 VR0.1 11 7200 0.995948
HMR0.1_11 HMR0.1 VR0.1 11 7300 0.995928
HMR0.1_11 HMR0.1 VR0.1 11 7400 0.995846
HMR0.1_11 HMR0.1 VR0.1 11 7500 0.995851
HMR0.1_11 HMR0.1 VR0.1 11 7600 0.995494
HMR0.1_11 HMR0.1 VR0.1 11 7700 0.99551
HMR0.1_11 HMR0.1 VR0.1 11 7800 0.995674
HMR0.1_11 HMR0.1 VR0.1 11 7900 0.995431
HMR0.1_11 HMR0.1 VR0.1 11 8000 0.995532
HMR0.1_11 HMR0.1 VR0.1 11 8100 0.995431
HMR0.1_11 HMR0.1 VR0.1 11 8200 0.995511
HMR0.1_11 HMR0.1 VR0.1 11 8300 0.995552
HMR0.1_11 HMR0.1 VR0.1 11 8400 0.995728
HMR0.1_11 HMR0.1 VR0.1 11 8500 0.99557
HMR0.1_11 HMR0.1 VR0.1 11 8600 0.995538
HMR0.1_11 HMR0.1 VR0.1 11 8700 0.995665
HMR0.1_11 HMR0.1 VR0.1 11 8800 0.995472
HMR0.1_11 HMR0.1 VR0.1 11 8900 0.995478
HMR0.1_11 HMR0.1 VR0.1 11 9000 0.995639
HMR0.1_11 HMR0.1 VR0.1 11 9100 0.995898
HMR0.1_11 HMR0.1 VR0.1 11 9200 0.995723
HMR0.1_11 HMR0.1 VR0.1 11 9300 0.995724
HMR0.1_11 HMR0.1 VR0.1 11 9400 0.995764
HMR0.1_11 HMR0.1 VR0.1 11 9500 0.995682
HMR0.1_11 HMR0.1 VR0.1 11 9600 0.995709
HMR0.1_11 HMR0.1 VR0.1 11 9700 0.995822
HMR0.1_11 HMR0.1 VR0.1 11 9800 0.995658
HMR0.1_11 HMR0.1 VR0.1 11 9900 0.995608
HMR0.1_11 HMR0.1 VR0.1 11 10000 0.995782
HMR0.1_12 HMR0.1 VR0.1 12 0 1
HMR0.1_12 HMR0.1 VR0.1 12 100 0.999654
HMR0.1_12 HMR0.1 VR0.1 12 200 0.999393
HMR0.1_12 HMR0.1 VR0.1 12 300 0.999191
HMR0.1_12 HMR0.1 VR0.1 12 400 0.998962
HMR0.1_12 HMR0.1 VR0.1 12 500 0.998854
HMR0.1_12 HMR0.1 VR0.1 12 600 0.998692
HMR0.1_12 HMR0.1 VR0.1 12 700 0.998498
HMR0.1_12 HMR0.1 VR0.1 12 800 0.998291
HMR0.1_12 HMR0.1 VR0.1 12 900 0.998098
HMR0.1_12 HMR0.1 VR0.1 12 1000 0.997969
HMR0.1_12 HMR0.1 VR0.1 12 1100 0.997942
HMR0.1_12 HMR0.1 VR0.1 12 1200 0.997849
